# NACA-65
# x/c       y/c         t/c
0.0         0.0         0.0 
0.5         0.250       1.544 
0.75        0.350       1.864 
1.25        0.535       2.338 
2.5         0.930       3.480 
5.0         1.580       4.354 
7.5         2.120       5.294 
10          2.585       6.080  
15          3.365       7.332  
20          3.980       8.286  
25          4.475       9.006  
30          4.860       9.520  
35          5.150       9.848  
40          5.355       9.992  
45          5.475       9.926  
50          5.515       9.624  
55          5.475       9.060  
60          5.355       8.292  
65          5.150       7.364  
70          4.860       6.312  
75          4.475       5.168  
80          3.980       3.974  
85          3.365       2.770  
90          2.585       1.620  
95          1.580       0.612  
100         0.0         0.0
